filename,shot_number,media_type,day,duration_sec,start_time,end_time,ai_score,location_human,action_human,key_tags,story_description,llm_summary,notes_human,language,enriched_by,enriched_on,status,camera_movement,shot_type,lighting,audio_notes,emotion_to_highlight,detailed_enrichment,tech_meta,shot_datetime_local,duration_sec_rounded,auto_summary,enrichment_input_raw,trip_id,day_id,clip_id,gcs_uri,place_city,place_country,time_of_day,day_segment,crowd_level,people,mood,shot_by
IMG_9537.MOV,,video,day-02,5.64,0s,5.640s,,Tamcock Lotus Spa,Vipin and Divya clean their feet in a stone bowl with rose petals,"spa, massage, foot cleaning, rose petals, night, panning, Divya, Vipin","Vipin and Divya are at the Tamcock Lotus Spa for a full body massage. They clean their feet in a stone bowl filled with water and rose petals. The scene is captured at night, creating a relaxing atmosphere.",Vipin and Divya clean their feet in a spa at night.,"This clip is shot by Divya and it's in the night around 8 pm. The camera is panning from right to left, and we have opted for full body massage here at Tamcock Lotus Spa. Vipin is cleaning his feet in a stone bowl of water with some rose petals in it, and then it pans on the left towards Divya's feet. She is doing the same. It's a little dark inside because it's a spa massage centre.",,Vipin,2025-08-12 10:33:14,enriched,pan,,low light,ambient spa sounds,relaxation,"The clip, shot by Divya, captures a relaxing moment at Tamcock Lotus Spa around 8 pm. The camera pans from right to left, showing Vipin cleaning his feet in a stone bowl with rose petals, followed by Divya doing the same. The lighting is dim, typical of a spa environment, enhancing the tranquil mood.",,,6,"5.64s • faces: 0
Objects: shoe, top.","This clip is shot by Divya and it's in the night around 8 pm. The camera is panning from right to left, and we have opted for full body massage here at Tamcock Lotus Spa. Vipin is cleaning his feet in a stone bowl of water with some rose petals in it, and then it pans on the left towards Divya's feet. She is doing the same. It's a little dark inside because it's a spa massage centre.",Vietnam_01,D02,Vietnam_01_D02_0045,,,,night,,low,Vipin; Divya,,Divya
DJI_20250331_113047_276.jpg,,photo,day-02,,,,0.99395686,Mua caves entrance,Divya stands on the pavement with hands in jacket pockets,"Mua caves, Divya, pavement, goggles, jeans, limestone mountains, fish pond, vegetation","Divya stands at the entrance of Mua caves, wearing black goggles and casual attire. Behind her, a fish pond and limestone mountains create a picturesque backdrop. The weather is cloudy but pleasant, adding to the serene atmosphere.",Divya stands at Mua caves entrance with a scenic backdrop of limestone mountains and a fish pond.,"This photo is taken by Vipin just right after the entrance of Mua caves. Divya is standing on the pavement wearing black-coloured goggles, keeping her both hands in the jacket's pocket, wearing dark blue jeans with white shoes and a light blue top. Behind her, there are some vegetation growing and a big fish pond, and then behind it are the limestone mountains covered in green. The weather is gloomy, cloudy but pleasant, and it's 10 am in the morning.",,Vipin,2025-08-12 10:36:49,enriched,static,medium,overcast,,serenity,"The photo captures Divya at the entrance of Mua caves, wearing black goggles, dark blue jeans, and a light blue top. She stands on the pavement with her hands in her jacket pockets. Behind her, lush vegetation and a large fish pond are visible, with limestone mountains covered in greenery in the distance. The scene is set on a cloudy but pleasant morning at 10 am.","{""file_size_bytes"": 3632788, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 11:30:47"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 11:30:47,,"Shot on 31 Mar 2025, 11:30 AM • {'red': 37.0, 'green': 51.0, 'blue': 72.0} • faces: 1
Tags: Clothing, Photograph. Objects: Jeans, Top.","This photo is taken by Vipin just right after the entrance of Mua caves. Divya is standing on the pavement wearing black-coloured goggles, keeping her both hands in the jacket's pocket, wearing dark blue jeans with white shoes and a light blue top. Behind her, there are some vegetation growing and a big fish pond, and then behind it are the limestone mountains covered in green. The weather is gloomy, cloudy but pleasant, and it's 10 am in the morning.",Vietnam_01,D02,Vietnam_01_D02_0046,,,,morning,,low,Divya,,
DJI_20250331_122115_059.jpg,,photo,day-02,,,,0.9110043,"Mua caves, cliff edge",Divya sits on a rocky edge looking down towards the valley,"Mua caves, cliff, valley, paddy fields, limestone mountains, cloudy, rocky edge","Divya is sitting on a rocky edge at the Mua caves, looking down at the valley below. The valley is dotted with paddy fields and huts, surrounded by lush limestone mountains. The weather is cloudy but pleasant, and Divya appears to be enjoying the view.","Divya sits on a cliff edge at Mua caves, enjoying the valley view.","This photo is taken by Vipin. In this photo, Divya is sitting on top of one of the cliffs of Mua caves. She is sitting on a very rocky edge looking down towards the valley which has paddy fields, some huts, and is surrounded by limestone mountains all over covered in green. Weather is cloudy but pleasant. Divya seems to be enjoying the views and is happy. It's 10:51 AM in the morning.",,Vipin,2025-08-12 10:38:52,enriched,,,overcast,,contentment,"The photo captures Divya sitting on a rocky edge of the Mua caves, gazing down at a valley filled with paddy fields and huts. The surrounding limestone mountains are lush and green, creating a picturesque scene. Despite the cloudy weather, the atmosphere is pleasant, and Divya seems happy and content with the view.","{""file_size_bytes"": 3191688, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:21:15"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:21:15,,"Shot on 31 Mar 2025, 12:21 PM • {'red': 221.0, 'green': 224.0, 'blue': 228.0} • faces: 1
Tags: Hill, Terrain. Objects: Jeans, Top.","This photo is taken by Vipin. In this photo, Divya is sitting on top of one of the cliffs of Mua caves. She is sitting on a very rocky edge looking down towards the valley which has paddy fields, some huts, and is surrounded by limestone mountains all over covered in green. Weather is cloudy but pleasant. Divya seems to be enjoying the views and is happy. It's 10:51 AM in the morning.",Vietnam_01,D02,Vietnam_01_D02_0047,,,,morning,,low,Divya,,
DJI_20250331_122358_266.jpg,,photo,day-02,,,,0.98119843,"Mua Caves Mountain, cliff top",Vipin poses for a photo taken by Divya,"Mua Caves Mountain, cliff, Vipin, Divya, dragon statue, temple, limestone, photography","Divya captures a photo of Vipin standing near the top of a cliff at Mua Caves Mountain. Vipin is posing with maroon goggles and a matching t-shirt, set against a backdrop of rocky limestone and a dragon statue.","Vipin poses on a cliff at Mua Caves Mountain, photographed by Divya.","This photo is taken by Divya, and she is standing near the top of one of the cliffs in Mua Caves Mountain to click Vipin. In the photo Vipin is standing and looking at Divya, giving a side pose, wearing maroon-coloured goggles, a maroon t-shirt, a black watch, and black jeans. Standing on the rocky edge behind him, we can see a black-coloured limestone covered with greens, and on top of it, you can see the dragon structure or statue on top of the mountain along with a temple top.",und,Vipin,2025-08-12 10:40:11,enriched,,,daylight,,serenity,"The photo features Vipin standing on a rocky edge at Mua Caves Mountain, posing for Divya. He is wearing maroon goggles, a maroon t-shirt, and black jeans. Behind him, a limestone cliff is visible, adorned with greenery, a dragon statue, and a temple top.","{""file_size_bytes"": 6170288, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:23:58"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:23:58,,"Shot on 31 Mar 2025, 12:23 PM • {'red': 107.0, 'green': 123.0, 'blue': 92.0} • faces: 1
Tags: Mountainous landforms, Mountain. Objects: Top, Jeans. OCR: “லே லே”","This photo is taken by Divya, and she is standing near the top of one of the cliffs in Mua Caves Mountain to click Vipin. In the photo Vipin is standing and looking at Divya, giving a side pose, wearing maroon-coloured goggles, a maroon t-shirt, a black watch, and black jeans. Standing on the rocky edge behind him, we can see a black-coloured limestone covered with greens, and on top of it, you can see the dragon structure or statue on top of the mountain along with a temple top.",Vietnam_01,D02,Vietnam_01_D02_0048,,,,,,low,Divya; Vipin,,
DJI_20250331_141632_366.jpg,,photo,day-02,,,,0.8598,"Trang An, Vietnam",Divya sits in a boat wearing a life jacket,"Trang An, boat tour, life jacket, limestone mountains, river, cloudy, Vietnamese hat","Divya is seated in a boat at Trang An, wearing an orange life jacket. The boat guide, wearing a traditional Vietnamese hat, is ready to start the tour. The scene is set against a backdrop of green river and limestone mountains under a cloudy sky.","Divya sits in a boat at Trang An, ready for a tour, with a guide in a Vietnamese hat.","This photo is taken by Vipin. In this photo, Divya is sitting wearing an orange-coloured life jacket in the boat. We are going to start our Trang An boat tour. The boat guide is sitting just behind the boat wearing a traditional Vietnamese hat. The river is green-coloured, and at the back, there are limestone mountains. The weather is cloudy but pleasant, and it's 12:46 pm.",,Vipin,2025-08-12 10:43:05,enriched,,,overcast,,anticipation,"The photo captures Divya seated in a boat at Trang An, Vietnam, wearing an orange life jacket. The boat guide, positioned behind her, is wearing a traditional Vietnamese hat. The river appears green, and limestone mountains are visible in the background. The weather is cloudy but pleasant, creating a serene atmosphere for the boat tour.","{""file_size_bytes"": 4487108, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 14:16:32"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 14:16:32,,"Shot on 31 Mar 2025, 02:16 PM • {'red': 110.0, 'green': 125.0, 'blue': 93.0} • faces: 2
Tags: Leisure, Hill station. Objects: Lifejacket, Clothing.","This photo is taken by Vipin. In this photo, Divya is sitting wearing an orange-coloured life jacket in the boat. We are going to start our Trang An boat tour. The boat guide is sitting just behind the boat wearing a traditional Vietnamese hat. The river is green-coloured, and at the back, there are limestone mountains. The weather is cloudy but pleasant, and it's 12:46 pm.",Vietnam_01,D02,Vietnam_01_D02_0049,,ninh binh,vietnam,,,medium,Divya; boat guide,,
IMG_9362.JPG,,photo,day-02,,,,0.98423225,"Mua caves, cliff edge",Vipin poses and smiles at the camera,"Mua caves, Vipin, cliff, limestone mountains, paddy fields, cloudy, pose","Vipin stands on a rocky edge at Mua caves, posing and smiling for the camera. Behind him are striking black limestone mountains and paddy fields to the right. The weather is cloudy but pleasant, creating a serene atmosphere.",Vipin poses on a cliff at Mua caves with limestone mountains and paddy fields in the background.,"This photo is clicked by Divya. In this photo, Vipin is standing on top of one of the cliffs in Mua caves. Standing on a very rocky edge. He is facing towards the camera and smiling. Giving a pose behind him. There are black-coloured limestone mountains and some paddy fields towards the right. And it's 10:30 AM. Weather is cloudy but pleasant.",,Vipin,2025-08-12 10:44:11,enriched,static,medium,overcast,,serenity,"Vipin is captured standing on a rocky edge at Mua caves, facing the camera with a smile. The backdrop features black limestone mountains and paddy fields, adding to the scenic view. The photo was taken at 10:30 AM under cloudy yet pleasant weather conditions, enhancing the serene mood of the scene.","{""file_size_bytes"": 3873061, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:01:25"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:01:25,,"Shot on 31 Mar 2025, 12:01 PM • {'red': 201.0, 'green': 206.0, 'blue': 204.0} • faces: 1
Tags: Mountainous landforms, Mountain. Objects: Top, Person.","This photo is clicked by Divya. In this photo, Vipin is standing on top of one of the cliffs in Mua caves. Standing on a very rocky edge. He is facing towards the camera and smiling. Giving a pose behind him. There are black-coloured limestone mountains and some paddy fields towards the right. And it's 10:30 AM. Weather is cloudy but pleasant.",Vietnam_01,D02,Vietnam_01_D02_0050,,,,,,low,Vipin,,
IMG_9365.JPG,,photo,day-02,,,,0.9855248,Mua caves cliff,Vipin and Divya take a selfie with victory signs,"selfie, victory sign, Mua caves, cliff, rocky mountain, paddy fields, limestone mountains, cloudy",Vipin and Divya are taking a joyful selfie on a cliff at Mua caves. They are smiling and showing victory signs with a scenic backdrop of rocky mountains and paddy fields.,"Vipin and Divya take a selfie on a Mua caves cliff, smiling with victory signs.",This is a selfie taken by Vipin. Vipin is standing just next to Divya. Divya is hugging him from side. They both are smiling and showing a victory sign from their right hand. They are standing on one of the cliffs of Mua caves. Behind them is a rocky black colour mountain edge. Then behind it are paddy fields and limestone mountain ranges. It's little cloudy but weather is pleasant. And it's 10:33 am.,en,Vipin,2025-08-12 10:45:35,enriched,handheld,medium,daylight,,joy,"Vipin and Divya are on a cliff at Mua caves, capturing a selfie. Divya hugs Vipin from the side, both smiling and showing victory signs. The backdrop features a rocky mountain edge, paddy fields, and limestone ranges. The weather is pleasant and slightly cloudy.","{""file_size_bytes"": 4321981, ""dimensions"": ""3024 4032"", ""creation_time"": ""2025:03:31 12:03:50"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:03:50,,"Shot on 31 Mar 2025, 12:03 PM • {'red': 184.0, 'green': 2.0, 'blue': 35.0} • faces: 2
Tags: Happiness, Eyewear. Objects: Sunglasses, Sunglasses. OCR: “L
BREAK
THE
RULES
BREAK
QULES
BREAK
THE
…”",This is a selfie taken by Vipin. Vipin is standing just next to Divya. Divya is hugging him from side. They both are smiling and showing a victory sign from their right hand. They are standing on one of the cliffs of Mua caves. Behind them is a rocky black colour mountain edge. Then behind it are paddy fields and limestone mountain ranges. It's little cloudy but weather is pleasant. And it's 10:33 am.,Vietnam_01,D02,Vietnam_01_D02_0051,,,,,,medium,Vipin; Divya,,
IMG_9367.JPG,,photo,day-02,,,,0.88232064,"Moat have Mua cave mountain, cliff top",making a Korean heart gesture,"paddy fields, limestone mountains, Korean heart gesture, Moat have Mua cave, point of view","Divya and Vipin are on top of a cliff at Moat have Mua cave mountain, making a Korean heart gesture with their hands. The background features paddy fields and limestone mountains under a cloudy but pleasant sky.",Divya and Vipin make a Korean heart gesture on a cliff with scenic views.,"This photo is shot by Divya and it's a point of view. In this photo, there are right hands of Divya and Vipin doing a gesture of Korean heart shape with one finger and one thumb, and in the background, there are paddy fields and limestone mountains. This clip is taken on top of one of the cliffs in Moat have Mua cave mountain. It's 10:38 a.m., and it's cloudy, but pleasant weather.",,Vipin,2025-08-12 10:48:26,enriched,,,overcast,,happiness,"The photo captures Divya and Vipin on a cliff at Moat have Mua cave mountain, forming a Korean heart gesture with their hands. The background shows expansive paddy fields and limestone mountains. The weather is cloudy yet pleasant, and the shot is taken from a point of view perspective.","{""file_size_bytes"": 2200221, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:08:51"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:08:51,,"Shot on 31 Mar 2025, 12:08 PM • {'red': 222.0, 'green': 226.0, 'blue': 232.0} • faces: 0
Tags: Elbow, Happiness.","This photo is shot by Divya and it's a point of view. In this photo, there are right hands of Divya and Vipin doing a gesture of Korean heart shape with one finger and one thumb, and in the background, there are paddy fields and limestone mountains. This clip is taken on top of one of the cliffs in Moat have Mua cave mountain. It's 10:38 a.m., and it's cloudy, but pleasant weather.",Vietnam_01,D02,Vietnam_01_D02_0052,,,,,,low,Divya; Vipin,,Divya
IMG_9368.JPG,,photo,day-02,,,,0.7603455,"Mua cave Mountain, cliff top",Divya and Vipin form a heart shape with their hands,"Mua cave Mountain, cliff, paddy fields, limestone mountains, heart shape, cloudy","On a cloudy morning, Divya and Vipin create a heart shape with their hands atop a cliff on Mua cave Mountain. The backdrop features scenic paddy fields and limestone mountain ranges.","Divya and Vipin form a heart shape with their hands on Mua cave Mountain, with scenic fields and mountains behind.","This photo is clicked on top of one of the cliffs on Mua cave Mountain. Divya from left hand, Vipin from right hand making a heart shaped figure through their hands only. So their hands are only visible and behind them is a beautiful scenery covering paddy fields and limestone mountain ranges. The weather is pleasant but cloudy, and it's 10:39 am.",,Vipin,2025-08-12 10:50:18,enriched,static,wide,overcast,,serenity,"Divya and Vipin are on top of a cliff at Mua cave Mountain, forming a heart shape with their hands. The background showcases beautiful paddy fields and limestone mountain ranges. The weather is pleasant but cloudy, providing a serene atmosphere.","{""file_size_bytes"": 2483239, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:09:31"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:09:31,,"Shot on 31 Mar 2025, 12:09 PM • {'red': 223.0, 'green': 226.0, 'blue': 231.0} • faces: 0
Tags: Leisure, Vacation.","This photo is clicked on top of one of the cliffs on Mua cave Mountain. Divya from left hand, Vipin from right hand making a heart shaped figure through their hands only. So their hands are only visible and behind them is a beautiful scenery covering paddy fields and limestone mountain ranges. The weather is pleasant but cloudy, and it's 10:39 am.",Vietnam_01,D02,Vietnam_01_D02_0053,,,,,,low,Divya; Vipin,,
IMG_9411.JPG,,photo,day-02,,,,0.9414465,"Mua cave, cliff",Divya looks down from the cliff,"mua cave, cliff, paddy fields, limestone mountains, point-of-view, cloudy, scenery",Vipin captures a point-of-view shot while holding Divya's hand as she looks down from a cliff at Mua cave. The scene includes beautiful paddy fields and limestone mountains under a cloudy but pleasant sky.,Vipin's point-of-view shot of Divya looking down from a cliff at Mua cave.,"This photo is taken by Vipin, and it's his point-of-view shot in which he is holding right hand of Divya, and Divya is looking down from the cliff of one of the mountains in on Mua cave. She is looking down towards a beautiful scenery of paddy fields and limestone mountains surrounding everywhere. The weather is cloudy but very pleasant. It's 10:48 am.",,Vipin,2025-08-12 10:54:28,enriched,,,overcast,,serenity,"Vipin takes a point-of-view photo while holding Divya's hand as she gazes down from a cliff at Mua cave. The scenery below includes expansive paddy fields and surrounding limestone mountains. The weather is cloudy yet pleasant, adding to the serene mood of the scene.","{""file_size_bytes"": 3161114, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:18:57"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:18:57,,"Shot on 31 Mar 2025, 12:18 PM • {'red': 119.0, 'green': 121.0, 'blue': 118.0} • faces: 1
Tags: Rock, Mountain. Objects: Top, Person.","This photo is taken by Vipin, and it's his point-of-view shot in which he is holding right hand of Divya, and Divya is looking down from the cliff of one of the mountains in on Mua cave. She is looking down towards a beautiful scenery of paddy fields and limestone mountains surrounding everywhere. The weather is cloudy but very pleasant. It's 10:48 am.",Vietnam_01,D02,Vietnam_01_D02_0054,,,,,,low,Vipin; Divya,,Vipin
IMG_9420.JPG,,photo,day-02,,,,0.9836728,Mua cave mountains,Vipin rests his hand on Divya's shoulder as they smile,"Mua cave mountains, cliff, paddy fields, limestone mountains, goggles, smiling","Vipin and Divya stand on the rocky edges of a cliff at the Mua cave mountains. They are smiling at the camera, with Vipin resting his hand on Divya's shoulder. Behind them, the scenery includes paddy fields and limestone mountains.",Vipin and Divya smile on a cliff at Mua cave mountains with scenic views behind them.,"In this photo, Vipin and Divya are standing on the rocky edges of a cliff of one of the Mua cave mountains. Vipin is standing behind Divya, and he's resting his hand on her shoulder. They are both smiling, wearing goggles in front of the camera. Behind them is a very beautiful scenery covering paddy fields and black-coloured limestone mountains. It's 10:55 a.m. in the morning.",en,Vipin,2025-08-12 10:55:38,enriched,static,medium,daylight,,joy,"Vipin and Divya are captured standing on the rocky edges of a cliff at the Mua cave mountains. Vipin stands behind Divya, resting his hand on her shoulder, and both are smiling at the camera. They are wearing goggles, and the background features beautiful paddy fields and black-coloured limestone mountains. The photo was taken in the morning, around 10:55 a.m.","{""file_size_bytes"": 4123615, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:25:24"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:25:24,,"Shot on 31 Mar 2025, 12:25 PM • {'red': 163.0, 'green': 40.0, 'blue': 59.0} • faces: 2
Tags: Mountainous landforms, Mountain. Objects: Jeans, Top. OCR: “wwwww
ENA
RULES
BREAK
RULES
REAK
THE
RUL…”","In this photo, Vipin and Divya are standing on the rocky edges of a cliff of one of the Mua cave mountains. Vipin is standing behind Divya, and he's resting his hand on her shoulder. They are both smiling, wearing goggles in front of the camera. Behind them is a very beautiful scenery covering paddy fields and black-coloured limestone mountains. It's 10:55 a.m. in the morning.",Vietnam_01,D02,Vietnam_01_D02_0055,,,,morning,,medium,Vipin; Divya,,
IMG_9427.JPG,,photo,day-02,,,,0.9863036,Mua caves,boats rowing on the river stream,"Mua caves, paddy fields, river stream, boats, limestone mountains, cloudy weather",A scenic view from the top of Mua caves captures paddy fields and a river stream with boats rowing. Limestone mountains covered in green form the backdrop under a slightly cloudy sky.,"A scenic view from Mua caves showing paddy fields, a river stream with boats, and limestone mountains.","This photo is clicked by Vipin. In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green. The weather is a little cloudy, but it is pleasant. It is 11:04 am.",,Vipin,2025-08-12 10:57:09,enriched,,wide,daylight,,serenity,"The photo, taken by Vipin, shows a beautiful scenery from the top of Mua caves. It features paddy fields and a river stream with boats rowing up and down. Behind these are limestone mountains covered in green. The weather is slightly cloudy but pleasant.","{""file_size_bytes"": 3763835, ""dimensions"": ""3024 4032"", ""creation_time"": ""2025:03:31 12:34:29"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:34:29,,"Shot on 31 Mar 2025, 12:34 PM • {'red': 198.0, 'green': 199.0, 'blue': 191.0} • faces: 0
Tags: Mountainous landforms, Mountain.","This photo is clicked by Vipin. In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green. The weather is a little cloudy, but it is pleasant. It is 11:04 am.",Vietnam_01,D02,Vietnam_01_D02_0056,,,,,,low,,,
IMG_9432.JPG,,photo,day-02,,,,0.9093752,Mua caves,Vipin poses with arms expanded overlooking the scenery,"Mua caves, scenery, paddy fields, river, boats, limestone mountains, cloudy","Vipin is at the top of the Mua caves, enjoying the beautiful scenery. The view includes paddy fields, a river with boats, and limestone mountains. The weather is cloudy but pleasant.","Vipin poses at Mua caves with scenic views of fields, river, and mountains.","This photo is clicked by Vipin. In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green, Vipin is posing looking down to view the scenery and expanding his arms to feel the vibe and beauty of the place. The weather is a little cloudy, but it is pleasant. It is 11:19 am.",,Vipin,2025-08-12 10:59:02,enriched,pan,wide,overcast,,awe,"Vipin stands at the top of the Mua caves, posing with his arms expanded to take in the scenery. The view includes lush paddy fields, a river with boats, and limestone mountains in the background. The weather is slightly cloudy, adding a pleasant vibe to the scene.","{""file_size_bytes"": 3216886, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:49:04"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:49:04,,"Shot on 31 Mar 2025, 12:49 PM • {'red': 158.0, 'green': 35.0, 'blue': 56.0} • faces: 0
Tags: Recreation, Terrain. Objects: Person, Top.","This photo is clicked by Vipin. In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green, Vipin is posing looking down to view the scenery and expanding his arms to feel the vibe and beauty of the place. The weather is a little cloudy, but it is pleasant. It is 11:19 am.",Vietnam_01,D02,Vietnam_01_D02_0057,,,,,,low,Vipin,,
IMG_9433.JPG,,photo,day-02,,,,0.91342103,"Mua caves, overlooking Trang An boat route",Vipin poses and points towards boats on the river,"Mua caves, paddy fields, river, boats, limestone mountains, scenery, cloudy","Vipin stands atop the Mua caves, pointing towards the boats rowing along the Trang An boat route. The view includes lush paddy fields and limestone mountains under a cloudy but pleasant sky.","Vipin poses at Mua caves, pointing to boats on the Trang An river route.","This photo is clicked by Vipin. In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green, Vipin is posing looking down to view the scenery and pointing down towards the boats rowing in the river - it's a trang an boat route. The weather is a little cloudy, but it is pleasant. It is 11:19 am.",,Vipin,2025-08-12 11:01:08,enriched,,,overcast,,serenity,"The photo captures Vipin at the top of Mua caves, overlooking a scenic view of paddy fields and a river with boats. Behind the river are limestone mountains covered in greenery. Vipin is pointing towards the boats, and the weather is cloudy but pleasant.","{""file_size_bytes"": 3118433, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:49:13"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:49:13,,"Shot on 31 Mar 2025, 12:49 PM • {'red': 203.0, 'green': 205.0, 'blue': 200.0} • faces: 1
Tags: Hill, Recreation. Objects: Person, Top.","This photo is clicked by Vipin. In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green, Vipin is posing looking down to view the scenery and pointing down towards the boats rowing in the river - it's a trang an boat route. The weather is a little cloudy, but it is pleasant. It is 11:19 am.",Vietnam_01,D02,Vietnam_01_D02_0058,,ninh binh,vietnam,,,low,Vipin,,
IMG_9437.JPG,,photo,day-02,,,,0.93664306,Mua caves,Vipin and Divya pose looking down at the scenery,"Mua caves, paddy fields, river stream, limestone mountains, scenery, posing","Vipin and Divya are enjoying the beautiful scenery from the top of the Mua caves. They are posing together, looking down at the paddy fields and river stream with boats. The limestone mountains provide a lush green backdrop.","Vipin and Divya pose at Mua caves, enjoying the scenic view of paddy fields and river.","This photo is clicked by Vipin. In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green, Vipin and Divya are posing looking down to view the scenery and holding each other from the side, they are enjoqing the views. The weather is a little cloudy, but it is pleasant. It is 11:19 am.",,Vipin,2025-08-12 11:02:26,enriched,,,overcast,,enjoyment,"The photo captures Vipin and Divya at the top of the Mua caves, enjoying the view of paddy fields and a river stream with boats. The limestone mountains in the background are covered in greenery. The weather is cloudy but pleasant, adding to the serene atmosphere.","{""file_size_bytes"": 3607392, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:49:56"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:49:56,,"Shot on 31 Mar 2025, 12:49 PM • {'red': 208.0, 'green': 209.0, 'blue': 205.0} • faces: 2
Tags: Rock, Recreation. Objects: Person, Jeans.","This photo is clicked by Vipin. In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green, Vipin and Divya are posing looking down to view the scenery and holding each other from the side, they are enjoqing the views. The weather is a little cloudy, but it is pleasant. It is 11:19 am.",Vietnam_01,D02,Vietnam_01_D02_0059,,,,,,medium,Vipin; Divya,,
IMG_9448.JPG,,photo,day-02,,,,0.9326794,Mua caves,posing and looking down at the scenery,"Mua caves, paddy fields, river, boats, limestone mountains, posing","Vipin and Divya are at the top of the Mua caves, enjoying the view of paddy fields and a river with boats. They are posing together, embracing the pleasant atmosphere.","Vipin and Divya pose at Mua caves, overlooking scenic paddy fields and a river.","In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green, Vipin and Divya are posing looking down to view the scenery and holding each other and expanding their arms to feel the vibe of the place. The weather is a little cloudy, but it is pleasant. It is 11:20 am.",und,Vipin,2025-08-12 11:03:59,enriched,pan,wide,overcast,,serenity,"Vipin and Divya are captured at the top of the Mua caves, posing and looking down at the scenic view. The scene includes paddy fields, a river with boats, and limestone mountains covered in green. The weather is slightly cloudy but pleasant, enhancing the serene vibe of the place.","{""file_size_bytes"": 3652267, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:03:31 12:50:18"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-03-31 12:50:18,,"Shot on 31 Mar 2025, 12:50 PM • {'red': 208.0, 'green': 209.0, 'blue': 205.0} • faces: 2
Tags: Rock, Recreation. Objects: Jeans, Person. OCR: “ON ON”","In this photo, there is a beautiful scenery captured from the top of the Mua caves. The scenery captures all the paddy fields along with the river stream where boats are rowing up and down the stream, and behind it are all limestone mountains covered in green, Vipin and Divya are posing looking down to view the scenery and holding each other and expanding their arms to feel the vibe of the place. The weather is a little cloudy, but it is pleasant. It is 11:20 am.",Vietnam_01,D02,Vietnam_01_D02_0060,,,,,,medium,Vipin; Divya,,
